rowid,sy_dist,sy_pnum,discoverymethod,disc_year
727,77.1971,2,Radial Velocity,2018
728,75.8643,1,Radial Velocity,2005
729,73.2801,1,Radial Velocity,2005
730,20.2727,1,Radial Velocity,2022
731,144.49,1,Radial Velocity,2022
732,190.953,1,Radial Velocity,2011
733,28.2697,1,Radial Velocity,2012
734,43.6002,2,Radial Velocity,2022
735,43.6002,2,Radial Velocity,2022
736,87.8888,1,Radial Velocity,2009
737,165.76,1,Radial Velocity,2011
738,107.898,2,Transit,2021
739,107.898,2,Transit,2021
740,44.8155,2,Transit,2019
741,44.8155,2,Transit,2019
742,17.9412,3,Radial Velocity,2022
743,17.9412,3,Radial Velocity,2022
744,17.9412,3,Radial Velocity,2022
745,48.4549,1,Radial Velocity,2008
746,18.2692,1,Radial Velocity,2021
747,18.284,1,Radial Velocity,2006
748,100.947,1,Radial Velocity,2023
749,63.0484,1,Radial Velocity,2008
750,63.4482,2,Radial Velocity,2004
751,63.4482,2,Radial Velocity,2014
752,57.7995,1,Radial Velocity,2021
753,43.6197,2,Radial Velocity,2007
754,43.6197,2,Radial Velocity,2007
755,27.561,2,Radial Velocity,2022
756,27.561,2,Radial Velocity,2022
757,48.249,2,Radial Velocity,2022
758,48.249,2,Radial Velocity,2022
759,36.1945,2,Radial Velocity,2011
760,36.1945,2,Radial Velocity,2018
761,56.8655,1,Radial Velocity,2009
762,24.3323,2,Radial Velocity,2010
763,24.3323,2,Radial Velocity,2021
764,47.7332,1,Radial Velocity,2007
765,94.8625,1,Radial Velocity,2011
766,27.0498,5,Radial Velocity,2020
767,27.0498,5,Radial Velocity,2020
768,27.0498,5,Radial Velocity,2020
769,27.0498,5,Radial Velocity,2020
770,27.0498,5,Radial Velocity,2020
771,283.659,1,Radial Velocity,2018
772,45.5621,2,Transit,2023
773,45.5621,2,Transit,2023
774,73.3055,2,Radial Velocity,2013
775,73.3055,2,Radial Velocity,2013
776,55.8503,2,Radial Velocity,2006
777,55.8503,2,Radial Velocity,2012
778,88.8047,2,Radial Velocity,2015
779,88.8047,2,Radial Velocity,2015
782,15.5981,4,Radial Velocity,2004
784,107.188,1,Radial Velocity,2021
785,37.7861,1,Radial Velocity,2000
