rowid,hostname,st_teff,st_rad,st_mass,st_met,st_spectype,st_age,st_rotp
3427,Kepler-196,5128.0,0.782,0.839,0.03,,3.09,
3428,Kepler-196,5128.0,0.782,0.839,0.03,,3.09,
3429,Kepler-196,5132.0,0.77,0.805,-0.06,,3.09,
3430,Kepler-1960,6371.0,1.072,1.117,-0.18,,,
3431,Kepler-1961,5401.0,0.777,0.871,-0.16,,,
3432,Kepler-1962,5700.0,1.006,1.003,0.16,,,
3433,Kepler-1963,5726.0,0.979,0.915,-0.1,,4.07,
3435,Kepler-1965,5852.0,0.837,0.928,-0.3,,4.57,
3436,Kepler-1966,5009.0,0.84,0.797,0.16,,,
3437,Kepler-1967,4970.0,1.806,0.996,0.32,,6.92,
3438,Kepler-1968,5008.0,0.788,0.844,0.18,,,
3439,Kepler-1969,6046.0,1.007,1.111,0.07,,,
3440,Kepler-197,6004.0,1.12,0.857,-0.441,,5.37,
3441,Kepler-197,6004.0,1.12,0.857,-0.441,,5.37,
3442,Kepler-197,6004.0,1.12,0.857,-0.441,,5.37,
3443,Kepler-197,6004.0,1.12,0.857,-0.441,,5.37,
3444,Kepler-1972,5818.0,1.384,1.12,0.23,,7.4,
3445,Kepler-1972,5818.0,1.384,1.12,0.23,,7.4,
3447,Kepler-1977,4805.0,0.688,0.769,-0.06,,1.3,
3448,Kepler-1978,5251.0,0.778,0.869,-0.04,,0.6,
3450,Kepler-198,5574.0,0.94,0.995,0.1142,,0.51,
3451,Kepler-198,5574.0,0.94,0.995,0.1142,,0.51,
3452,Kepler-198,5636.0,0.93,0.97,0.04,,3.72,
3453,Kepler-1980,5819.0,0.99,1.049,0.14,,,
3454,Kepler-1981,5874.0,3.006,1.519,0.12,,,
3455,Kepler-1982,6202.0,1.122,1.213,0.21,,2.63,
3456,Kepler-1983,5135.0,0.874,0.812,0.12,,13.7,
3459,Kepler-1986,5549.0,0.732,0.776,-0.54,,,
3460,Kepler-1987,4769.0,0.714,0.799,0.12,,,
3461,Kepler-1987,4769.0,0.714,0.799,0.12,,,
3462,Kepler-1987,4769.0,0.714,0.799,0.12,,,
3463,Kepler-1987,4769.0,0.714,0.799,0.12,,,
3464,Kepler-1988,6033.0,1.788,1.127,-0.1,,,
3465,Kepler-1989,6032.0,1.06,0.999,-0.14,,,
3466,Kepler-199,5644.0,0.967,0.96,0.0,,1.45,
3467,Kepler-199,5644.0,0.967,0.96,0.0,,1.45,
3468,Kepler-1990,5751.0,1.071,1.028,0.21,,2.5,
3469,Kepler-1990,5751.0,1.071,1.028,0.21,,2.5,
3470,Kepler-1991,5478.0,1.053,0.914,0.16,,6.76,
3471,Kepler-1991,5478.0,1.053,0.914,0.16,,6.76,
3472,Kepler-1992,5383.0,0.842,0.874,0.0,,13.49,
3473,Kepler-1993,5159.0,3.062,1.373,-0.04,,4.68,
3474,Kepler-1994,5495.0,0.961,0.932,0.16,,5.01,
3475,Kepler-1995,5029.0,0.93,0.847,0.48,,2.04,
3476,Kepler-1996,4580.0,0.675,0.748,0.08,,14.0,
3477,Kepler-1996,4580.0,0.675,0.748,0.08,,14.0,
3478,Kepler-1997,6215.0,1.052,1.111,-0.06,,,
3479,Kepler-1998,5640.0,0.921,0.962,0.06,,4.27,
3480,Kepler-1999,4406.0,0.628,0.632,-0.24,,,
3481,Kepler-20,5495.0,0.9164,0.929,0.07,,5.6,
3482,Kepler-20,5495.0,0.9164,0.929,0.07,,5.6,
3483,Kepler-20,5495.0,0.9164,0.929,0.07,,5.6,
3484,Kepler-20,5495.0,0.9164,0.929,0.07,,5.6,
3485,Kepler-20,5495.0,0.9164,0.929,0.07,,5.6,
3486,Kepler-20,5495.0,0.9639,0.948,0.07,,7.6,
3487,Kepler-200,5678.0,0.944,0.972,-0.006,,6.3,
3488,Kepler-200,5678.0,0.944,0.972,-0.006,,6.3,
3489,Kepler-2000,3757.0,0.576,0.581,0.48,,6.0,
3490,Kepler-2000,3757.0,0.576,0.581,0.48,,6.0,
3491,Kepler-2001,5081.0,0.77,0.864,0.12,,4.0,
3492,Kepler-2001,5081.0,0.77,0.864,0.12,,4.0,
3493,Kepler-201,6065.0,1.229,1.098,-0.0442,,4.07,
3494,Kepler-201,6065.0,1.229,1.098,-0.0442,,4.07,
3495,Kepler-202,4668.0,0.667,0.683,-0.21,,3.24,
3496,Kepler-202,4668.0,0.667,0.683,-0.21,,3.24,
3497,Kepler-203,5821.0,1.114,1.06,0.08,,1.78,
3498,Kepler-203,5821.0,1.114,1.06,0.08,,1.78,
3499,Kepler-203,5821.0,1.114,1.06,0.08,,1.78,
3500,Kepler-204,5812.0,1.238,1.038,0.07,,1.41,
3501,Kepler-204,5812.0,1.238,1.038,0.07,,1.41,
3502,Kepler-205,4321.0,0.546,0.592,-0.1254,M1 V,4.42,
3503,Kepler-205,4321.0,0.546,0.592,-0.1254,M1 V,4.42,
3504,Kepler-206,5764.0,1.185,0.957,0.0213,,8.32,
3505,Kepler-206,5764.0,1.185,0.957,0.0213,,8.32,
3506,Kepler-206,5764.0,1.185,0.957,0.0213,,8.32,
3507,Kepler-207,5920.0,1.588,1.313,0.29,,3.63,
3508,Kepler-207,5920.0,1.588,1.313,0.29,,3.63,
3509,Kepler-207,5920.0,1.588,1.313,0.29,,3.63,
3510,Kepler-208,6092.0,1.314,1.082,-0.0423,,4.68,
3511,Kepler-208,6092.0,1.314,1.082,-0.0423,,4.68,
3512,Kepler-208,6092.0,1.314,1.082,-0.0423,,4.68,
3513,Kepler-208,6092.0,1.314,1.082,-0.0423,,4.68,
3514,Kepler-209,5513.0,0.935,0.971,0.11,,1.95,
3515,Kepler-209,5513.0,0.935,0.971,0.11,,1.95,
3516,Kepler-21,6305.0,1.902,1.408,-0.03,F6 IV,2.84,13.42
3517,Kepler-210,4559.0,0.65,0.77,0.2772,M0 V,1.78,
3518,Kepler-210,4559.0,0.65,0.77,0.2772,M0 V,1.78,
3519,Kepler-211,5123.0,0.816,0.867,0.151,,1.55,
3520,Kepler-211,5123.0,0.816,0.867,0.151,,1.55,
3521,Kepler-212,5852.0,1.455,1.166,0.22,,5.13,
3522,Kepler-212,5852.0,1.455,1.166,0.22,,5.13,
3523,Kepler-213,5696.0,1.195,1.07,0.15,,1.62,
3524,Kepler-213,5696.0,1.195,1.07,0.15,,1.62,
3525,Kepler-214,6169.0,1.352,1.11,-0.02,,1.58,
3526,Kepler-214,6169.0,1.352,1.11,-0.02,,1.58,
3527,Kepler-215,5739.0,1.027,0.788,-0.4425,,1.62,
3528,Kepler-215,5739.0,1.027,0.788,-0.4425,,1.62,
3529,Kepler-215,5739.0,1.027,0.788,-0.4425,,1.62,
3530,Kepler-215,5739.0,1.027,0.788,-0.4425,,1.62,
3531,Kepler-216,6091.0,1.26,1.126,-0.1489,,0.28,
3532,Kepler-216,6091.0,1.26,1.126,-0.1489,,0.28,
3533,Kepler-217,6171.0,1.799,1.342,-0.07,,2.4,
3534,Kepler-217,6171.0,1.799,1.342,-0.07,,2.4,
3535,Kepler-217,6341.0,1.76,1.37,0.09,,2.63,
3536,Kepler-218,5502.0,1.063,1.019,0.37,,3.02,
3537,Kepler-218,5502.0,1.063,1.019,0.37,,3.02,
3538,Kepler-218,5542.0,1.02,1.01,0.31,,5.62,
3539,Kepler-219,5786.0,1.491,1.164,0.36,,4.0,
3540,Kepler-219,5786.0,1.491,1.164,0.36,,4.0,
3541,Kepler-219,5786.0,1.491,1.164,0.36,,4.0,
3542,Kepler-22,5596.0,0.869,0.857,-0.255,G5 V,7.0,
3543,Kepler-220,4632.0,0.666,0.729,-0.1738,,6.0,
3544,Kepler-220,4632.0,0.666,0.729,-0.1738,,6.0,
3545,Kepler-220,4632.0,0.666,0.729,-0.1738,,6.0,
3546,Kepler-220,4632.0,0.666,0.729,-0.1738,,6.0,
3547,Kepler-221,5243.0,0.821,0.854,0.0616,,1.78,
3548,Kepler-221,5243.0,0.821,0.854,0.0616,,1.78,
3549,Kepler-221,5243.0,0.821,0.854,0.0616,,1.78,
3550,Kepler-221,5243.0,0.821,0.854,0.0616,,1.78,
3551,Kepler-222,5433.0,0.869,0.933,0.33,,1.17,
3552,Kepler-222,5433.0,0.869,0.933,0.33,,1.17,
3553,Kepler-222,5433.0,0.869,0.933,0.33,,1.17,
3554,Kepler-223,5803.0,1.72,1.125,0.1,,8.91,
3555,Kepler-223,5803.0,1.72,1.125,0.1,,8.91,
3556,Kepler-223,5803.0,1.72,1.125,0.1,,8.91,
3557,Kepler-223,5803.0,1.72,1.125,0.1,,8.91,
3558,Kepler-224,5018.0,0.676,0.777,-0.06,,2.29,
3559,Kepler-224,5018.0,0.676,0.777,-0.06,,2.29,
3560,Kepler-224,5018.0,0.676,0.777,-0.06,,2.29,
3561,Kepler-224,5018.0,0.676,0.777,-0.06,,2.29,
3562,Kepler-225,3682.0,0.48,0.593,-0.04,M1 V,2.88,
3563,Kepler-225,3682.0,0.48,0.593,-0.04,M1 V,2.88,
3564,Kepler-226,5571.0,0.802,0.904,0.09,,4.17,
3565,Kepler-226,5571.0,0.802,0.904,0.09,,4.17,
3566,Kepler-226,5571.0,0.802,0.904,0.09,,4.17,
3567,Kepler-227,5854.0,1.091,0.954,0.1,,3.98,
3568,Kepler-227,5854.0,1.091,0.954,0.1,,3.98,
3569,Kepler-228,6043.0,1.014,1.006,0.18,,6.76,
3570,Kepler-228,6043.0,1.014,1.006,0.18,,6.76,
3571,Kepler-228,6043.0,1.014,1.006,0.18,,6.76,
3572,Kepler-229,5120.0,0.728,0.808,0.06,,2.04,
3573,Kepler-229,5120.0,0.728,0.808,0.06,,2.04,
3574,Kepler-229,5120.0,0.728,0.808,0.06,,2.04,
3575,Kepler-23,5828.0,1.548,1.078,-0.112,,9.12,
3576,Kepler-23,5828.0,1.548,1.078,-0.112,,9.12,
3577,Kepler-23,5828.0,1.548,1.078,-0.112,,9.12,
3578,Kepler-230,5588.0,0.817,0.784,-0.21,,1.8,
3579,Kepler-230,5588.0,0.817,0.784,-0.21,,1.8,
3580,Kepler-231,3767.0,0.49,0.58,-0.1,M1 V,3.15,
3581,Kepler-231,3767.0,0.49,0.58,-0.1,M1 V,3.15,
3582,Kepler-232,5847.0,0.968,0.97,0.03,,1.4,
3583,Kepler-232,5847.0,0.968,0.97,0.03,,1.4,
3584,Kepler-233,5360.0,0.758,0.855,-0.09,,0.6,
3585,Kepler-233,5360.0,0.758,0.855,-0.09,,0.6,
3586,Kepler-234,6224.0,1.113,1.129,0.22,,2.88,
3587,Kepler-234,6224.0,1.113,1.129,0.22,,2.88,
3588,Kepler-235,4255.0,0.554,0.581,-0.51,M0 V,6.0,39.49
3589,Kepler-235,4255.0,0.554,0.581,-0.51,M0 V,6.0,39.49
3590,Kepler-235,4255.0,0.554,0.581,-0.51,M0 V,6.0,39.49
3591,Kepler-235,4255.0,0.554,0.581,-0.51,M0 V,6.0,39.49
3592,Kepler-236,3750.0,0.51,0.596005,-0.05,M1 V,0.91,
3593,Kepler-236,3750.0,0.51,0.596005,-0.05,M1 V,0.91,
3594,Kepler-237,4861.0,0.725,0.696,0.22,,3.02,
3595,Kepler-237,4861.0,0.725,0.696,0.22,,3.02,
3596,Kepler-238,5751.0,1.43,1.229,0.34,,4.79,
3597,Kepler-238,5751.0,1.43,1.229,0.34,,4.79,
3598,Kepler-238,5751.0,1.43,1.229,0.34,,4.79,
3599,Kepler-238,5800.0,0.96,1.06,0.34,,4.79,
3600,Kepler-238,5800.0,0.96,1.06,0.34,,4.79,
3601,Kepler-239,4914.0,0.763,0.757,0.17,,3.31,
3602,Kepler-239,4914.0,0.763,0.757,0.17,,3.31,
3603,Kepler-24,6028.0,1.099,1.06,-0.0708,,3.02,
3604,Kepler-24,6028.0,1.099,1.06,-0.0708,,3.02,
3605,Kepler-24,5897.0,1.289,1.046,-0.0708,,3.02,
3606,Kepler-24,5897.0,1.289,1.046,-0.0708,,3.02,
3607,Kepler-240,4985.0,0.739,0.868,0.41,,1.91,
3608,Kepler-240,4985.0,0.739,0.868,0.41,,1.91,
3609,Kepler-241,4699.0,0.668,0.671,0.031,,13.9,
3610,Kepler-241,4699.0,0.668,0.671,0.031,,13.9,
3611,Kepler-242,5020.0,0.85,0.748,-0.02,,2.69,
3612,Kepler-242,5020.0,0.85,0.748,-0.02,,2.69,
3613,Kepler-243,5228.0,0.842,0.904,0.26,,1.86,
3614,Kepler-243,5228.0,0.842,0.904,0.26,,1.86,
3615,Kepler-244,5554.0,0.803,0.933,0.07,,2.4,
3616,Kepler-244,5554.0,0.803,0.933,0.07,,2.4,
3617,Kepler-244,5554.0,0.803,0.933,0.07,,2.4,
3618,Kepler-245,5100.0,0.795,0.856,0.12,,3.63,
3619,Kepler-245,5100.0,0.795,0.856,0.12,,3.63,
3620,Kepler-245,5100.0,0.795,0.856,0.12,,3.63,
3621,Kepler-245,5174.0,0.8,0.86,0.05,,3.63,
3622,Kepler-246,5206.0,0.831,0.853,0.2,,1.26,
3623,Kepler-246,5206.0,0.831,0.853,0.2,,1.26,
3624,Kepler-247,5100.0,0.768,0.887,0.3,,2.14,
3625,Kepler-247,5100.0,0.768,0.887,0.3,,2.14,
3626,Kepler-247,5100.0,0.768,0.887,0.3,,2.14,
3627,Kepler-248,5190.0,0.831,0.838,0.17,,2.34,
3628,Kepler-248,5190.0,0.831,0.838,0.17,,2.34,
3629,Kepler-249,3568.0,0.482,0.510238,-0.34,M2 V,3.86,
3630,Kepler-249,3568.0,0.482,0.510238,-0.34,M2 V,3.86,
3631,Kepler-249,3568.0,0.482,0.510238,-0.34,M2 V,3.86,
3632,Kepler-25,6354.0,1.316,1.165,0.11,F8,2.75,
3633,Kepler-25,6354.0,1.316,1.165,0.11,F8,2.75,
3634,Kepler-25,6354.0,1.316,1.165,0.11,F8,2.75,
3635,Kepler-250,5160.0,0.805,0.806,0.01,,13.2,
3636,Kepler-250,5160.0,0.805,0.806,0.01,,13.2,
3637,Kepler-250,5160.0,0.805,0.806,0.01,,13.2,
3638,Kepler-251,5526.0,0.89,0.891,-0.06,,2.0,
3639,Kepler-251,5526.0,0.89,0.891,-0.06,,2.0,
3640,Kepler-251,5526.0,0.89,0.891,-0.06,,2.0,
3641,Kepler-251,5526.0,0.89,0.891,-0.06,,2.0,
3642,Kepler-252,4208.0,0.549,0.61,-0.13,M0 V,13.9,
3643,Kepler-252,4208.0,0.549,0.61,-0.13,M0 V,13.9,
3644,Kepler-253,5208.0,0.786,0.86,0.15,,3.72,
3645,Kepler-253,5208.0,0.786,0.86,0.15,,3.72,
3646,Kepler-253,5208.0,0.786,0.86,0.15,,3.72,
3647,Kepler-254,5957.0,0.91,0.849,-0.13,,0.3,
3648,Kepler-254,5957.0,0.91,0.849,-0.13,,0.3,
3649,Kepler-254,5957.0,0.91,0.849,-0.13,,0.3,
3650,Kepler-255,5573.0,0.933,0.867,0.3386,,2.4,
3651,Kepler-255,5573.0,0.933,0.867,0.3386,,2.4,
3652,Kepler-255,5431.0,0.86,0.9,0.02,,4.37,
3653,Kepler-256,5551.0,1.301,1.037,0.26,,1.82,
3654,Kepler-256,5551.0,1.301,1.037,0.26,,1.82,
3655,Kepler-256,5551.0,1.301,1.037,0.26,,1.82,
3656,Kepler-256,5551.0,1.301,1.037,0.26,,1.82,
3657,Kepler-257,5180.0,1.037,0.916,0.4,,1.48,
3658,Kepler-257,5180.0,1.037,0.916,0.4,,1.48,
3659,Kepler-257,5180.0,1.037,0.916,0.4,,1.48,
3660,Kepler-258,4942.0,0.915,0.82,0.3031,,13.7,
3661,Kepler-258,4942.0,0.915,0.82,0.3031,,13.7,
3662,Kepler-259,5938.0,0.898,0.867,-0.09,,0.4,
3663,Kepler-259,5938.0,0.898,0.867,-0.09,,0.4,
3664,Kepler-26,3914.0,0.512,0.544,-0.13,M0 V,2.95,
3665,Kepler-26,3914.0,0.512,0.544,-0.13,M0 V,2.95,
3666,Kepler-26,4486.0,0.571,0.593,-0.21,M0 V,2.95,
3667,Kepler-26,4486.0,0.571,0.593,-0.21,M0 V,2.95,
3668,Kepler-260,5250.0,0.862,1.013,0.29,,1.15,
3669,Kepler-260,5250.0,0.862,1.013,0.29,,1.15,
3670,Kepler-261,5098.0,0.794,0.834,0.1621,,0.87,
3671,Kepler-261,5098.0,0.794,0.834,0.1621,,0.87,
3672,Kepler-262,5841.0,0.881,0.816,-0.3382,,3.55,
3673,Kepler-262,5841.0,0.881,0.816,-0.3382,,3.55,
3674,Kepler-263,5265.0,0.785,0.793,-0.0314,,2.24,
3675,Kepler-263,5265.0,0.785,0.793,-0.0314,,2.24,
3676,Kepler-264,6158.0,1.55,1.426,0.0469,,2.45,
3677,Kepler-264,6158.0,1.55,1.426,0.0469,,2.45,
3678,Kepler-265,5835.0,1.103,0.97,-0.11,,0.28,
3679,Kepler-265,5835.0,1.103,0.97,-0.11,,0.28,
3680,Kepler-265,5835.0,1.103,0.97,-0.11,,0.28,
3681,Kepler-265,5835.0,1.103,0.97,-0.11,,0.28,
3682,Kepler-266,5885.0,1.028,0.947,0.16,,4.79,
3683,Kepler-266,5885.0,1.028,0.947,0.16,,4.79,
3684,Kepler-267,4258.0,0.555,0.541571,-0.18,M1 V,3.06,
3685,Kepler-267,4258.0,0.555,0.541571,-0.18,M1 V,3.06,
3686,Kepler-267,4258.0,0.555,0.541571,-0.18,M1 V,3.06,
3687,Kepler-268,6081.0,1.274,1.109,0.0009,,1.71,
3688,Kepler-268,6081.0,1.274,1.109,0.0009,,1.71,
3689,Kepler-269,5847.0,0.959,0.92,0.4,,6.46,
3690,Kepler-269,5847.0,0.959,0.92,0.4,,6.46,
3691,Kepler-27,5400.0,0.59,0.65,0.41,,1.62,
3692,Kepler-27,5400.0,0.59,0.65,0.41,,1.62,
3693,Kepler-27,5251.0,0.817,0.926,0.21,,1.62,
3694,Kepler-270,6067.0,1.461,1.17,0.15,,2.73,
3695,Kepler-270,6067.0,1.461,1.17,0.15,,2.73,
3696,Kepler-271,5555.0,0.87,0.9,-0.13,,4.57,
3697,Kepler-271,5555.0,0.87,0.9,-0.13,,4.57,
3698,Kepler-271,5555.0,0.87,0.9,-0.13,,4.57,
3699,Kepler-272,5297.0,0.929,0.91,0.04,,13.18,
3700,Kepler-272,5297.0,0.929,0.91,0.04,,13.18,
3701,Kepler-272,5297.0,0.929,0.91,0.04,,13.18,
3702,Kepler-273,5626.0,0.815,0.756,-0.28,,10.47,
3703,Kepler-273,5626.0,0.815,0.756,-0.28,,10.47,
3704,Kepler-274,6023.0,1.007,0.883,-0.2112,,12.88,
3705,Kepler-274,6023.0,1.007,0.883,-0.2112,,12.88,
3706,Kepler-275,6165.0,1.383,1.189,0.08,,3.39,
3707,Kepler-275,6165.0,1.383,1.189,0.08,,3.39,
3708,Kepler-275,6165.0,1.383,1.189,0.08,,3.39,
3709,Kepler-276,6105.0,1.046,0.845,-0.29,,0.4,
3710,Kepler-276,5693.0,1.03,1.1,-0.29,,0.4,
3711,Kepler-276,5693.0,1.03,1.1,-0.29,,0.4,
3712,Kepler-277,5946.0,1.69,1.12,0.09,,3.89,
3713,Kepler-277,5946.0,1.69,1.12,0.09,,3.89,
3714,Kepler-278,4965.0,2.861,1.227,0.22,K2 III-IV,5.761,
3715,Kepler-278,4965.0,2.861,1.227,0.22,K2 III-IV,5.761,
3716,Kepler-279,6363.0,1.746,1.2,-0.1141,,0.22,
3717,Kepler-279,6689.45,1.07,1.1,-0.1141,,0.22,
3718,Kepler-279,6689.45,1.07,1.1,-0.1141,,0.22,
3719,Kepler-279,6689.45,1.43,1.164,-0.1141,,0.22,
3720,Kepler-28,4499.3,0.664,0.684,0.1451,M0 V,1.91,
3721,Kepler-28,4499.3,0.664,0.684,0.1451,M0 V,1.91,
3722,Kepler-280,5744.0,0.886,0.962,0.1213,,5.62,
3723,Kepler-280,5744.0,0.886,0.962,0.1213,,5.62,
3724,Kepler-281,5723.0,0.899,0.95,0.02,,0.6,
3725,Kepler-281,5723.0,0.899,0.95,0.02,,0.6,
3726,Kepler-281,5717.0,0.884,0.984,0.0,,0.6,
3727,Kepler-282,5602.0,0.904,0.86,-0.2,,12.88,
3728,Kepler-282,5602.0,0.904,0.86,-0.2,,12.88,
3729,Kepler-282,5656.0,0.89,0.97,-0.2,,12.88,
3730,Kepler-282,5656.0,0.89,0.97,-0.2,,12.88,
3731,Kepler-283,4351.0,0.566,0.596,-0.17,,3.09,
3732,Kepler-283,4351.0,0.566,0.596,-0.17,,3.09,
3733,Kepler-284,5615.0,0.814,0.766,-0.26,,0.5,
3734,Kepler-284,5615.0,0.814,0.766,-0.26,,0.5,
3735,Kepler-285,5411.0,0.808,0.915,0.17,,2.88,
3736,Kepler-285,5411.0,0.808,0.915,0.17,,2.88,
3737,Kepler-286,5580.0,0.863,0.83,-0.25,,2.75,
3738,Kepler-286,5580.0,0.863,0.83,-0.25,,2.75,
3739,Kepler-286,5580.0,0.863,0.83,-0.25,,2.75,
3740,Kepler-286,5580.0,0.863,0.83,-0.25,,2.75,
3741,Kepler-287,5806.0,1.032,0.963,0.117,K7 V,2.88,
3742,Kepler-287,5806.0,1.032,0.963,0.117,K7 V,2.88,
3743,Kepler-288,5918.0,1.091,0.842,-0.24,,12.3,
3744,Kepler-288,5918.0,1.091,0.842,-0.24,,12.3,
3745,Kepler-288,5918.0,1.091,0.842,-0.24,,12.3,
3746,Kepler-289,5990.0,1.0,1.08,0.05,,0.65,
3747,Kepler-289,5990.0,1.0,1.08,0.05,,0.65,
3748,Kepler-289,5990.0,1.0,1.08,0.05,,0.65,
3749,Kepler-289,5990.0,0.985,1.061,-0.0098,,0.65,
3750,Kepler-29,5378.0,0.732,0.761,-0.44,,0.3,
3751,Kepler-29,5378.0,0.732,0.761,-0.44,,0.3,
3752,Kepler-290,5147.0,0.743,0.756,-0.1,,1.1,
3753,Kepler-290,5147.0,0.743,0.756,-0.1,,1.1,
3754,Kepler-290,5142.0,0.755,0.84,-0.06,,1.1,
3755,Kepler-291,6002.0,1.016,1.023,0.23,,7.76,
3756,Kepler-291,6002.0,1.016,1.023,0.23,,7.76,
3757,Kepler-292,5299.0,0.826,0.865,0.04,,5.13,
3758,Kepler-292,5299.0,0.826,0.865,0.04,,5.13,
3759,Kepler-292,5299.0,0.826,0.865,0.04,,5.13,
3760,Kepler-292,5299.0,0.826,0.865,0.04,,5.13,
3761,Kepler-292,5299.0,0.826,0.865,0.04,,5.13,
3762,Kepler-293,5804.0,0.957,0.934,0.1,,1.32,
3763,Kepler-293,5804.0,0.957,0.934,0.1,,1.32,
3764,Kepler-294,5913.0,0.976,0.947,0.11,,3.98,
3765,Kepler-294,5913.0,0.976,0.947,0.11,,3.98,
3766,Kepler-295,5603.0,0.898,0.89,-0.03,,6.46,
3767,Kepler-295,5603.0,0.898,0.89,-0.03,,6.46,
3768,Kepler-295,5603.0,0.898,0.89,-0.03,,6.46,
3769,Kepler-296,3740.0,0.48,0.498,-0.08,M2 V,4.2,
3770,Kepler-296,3740.0,0.48,0.498,-0.08,M2 V,4.2,
3771,Kepler-296,3740.0,0.48,0.498,-0.08,M2 V,4.2,
3772,Kepler-296,3740.0,0.48,0.498,-0.08,M2 V,4.2,
3773,Kepler-296,3740.0,0.48,0.498,-0.08,M2 V,4.2,
3774,Kepler-297,5619.0,0.915,0.927,-0.11,,1.9,
3775,Kepler-297,5619.0,0.915,0.927,-0.11,,1.9,
3777,Kepler-298,4465.0,0.582,0.66,-0.21,,2.4,
3778,Kepler-298,4465.0,0.582,0.66,-0.21,,2.4,
3779,Kepler-298,4465.0,0.582,0.66,-0.21,,2.4,
3780,Kepler-299,5617.0,1.032,1.004,0.12,,3.24,
3781,Kepler-299,5617.0,1.032,1.004,0.12,,3.24,
3782,Kepler-299,5617.0,1.032,1.004,0.12,,3.24,
3783,Kepler-299,5617.0,1.032,1.004,0.12,,3.24,
3784,Kepler-30,5498.0,0.95,0.99,0.18,,2.0,
3785,Kepler-30,5498.0,0.95,0.99,0.18,,2.0,
3786,Kepler-30,5498.0,0.95,0.99,0.18,,2.0,
3787,Kepler-300,5986.0,0.9,1.07,0.04,,3.63,
3788,Kepler-300,5986.0,0.9,1.07,0.04,,3.63,
3789,Kepler-301,5815.0,0.9,1.022,0.187,,1.45,
3790,Kepler-301,5815.0,0.9,1.022,0.187,,1.45,
3791,Kepler-301,5815.0,0.9,1.022,0.187,,1.45,
3792,Kepler-302,5740.0,1.22,1.021,0.16,,4.47,
3794,Kepler-303,3944.0,0.485,0.575,-0.4136,M0 V,7.71,
3795,Kepler-303,3944.0,0.485,0.575,-0.4136,M0 V,7.71,
3796,Kepler-304,4731.0,0.687,0.737,0.03,,2.09,
3797,Kepler-304,4731.0,0.687,0.737,0.03,,2.09,
3798,Kepler-304,4731.0,0.687,0.737,0.03,,2.09,
3799,Kepler-304,4817.0,0.73,0.8,0.05,,2.09,
3800,Kepler-305,5080.0,0.8,0.76,0.09,,4.37,
3801,Kepler-305,5080.0,0.8,0.76,0.09,,4.37,
3802,Kepler-305,5090.0,0.792,0.827,0.09,,4.37,
3803,Kepler-305,4974.0,0.827279,0.82,0.09,,4.37,
3804,Kepler-306,4954.0,0.719,0.75,-0.13,,2.63,
3805,Kepler-306,4954.0,0.719,0.75,-0.13,,2.63,
3806,Kepler-306,4954.0,0.719,0.75,-0.13,,2.63,
3807,Kepler-306,4954.0,0.719,0.75,-0.13,,2.63,
3808,Kepler-307,5367.0,0.814,0.907,0.19,,0.95,
3809,Kepler-307,5367.0,0.814,0.907,0.19,,0.95,
3810,Kepler-308,5895.0,0.941,0.92,-0.04,,0.5,
3811,Kepler-308,5895.0,0.941,0.92,-0.04,,0.5,
3812,Kepler-309,4713.0,0.721,0.816,0.27,M0 V,3.02,
3813,Kepler-309,4713.0,0.721,0.816,0.27,M0 V,3.02,
3814,Kepler-31,6340.0,1.22,1.21,-0.076,,0.28,
3815,Kepler-31,6340.0,1.22,1.21,-0.076,,0.28,
3816,Kepler-31,6340.0,1.22,1.21,-0.076,,0.28,
3817,Kepler-310,5797.0,0.876,0.854,-0.12,,1.9,
3818,Kepler-310,5797.0,0.876,0.854,-0.12,,1.9,
3819,Kepler-310,5797.0,0.876,0.854,-0.12,,1.9,
3820,Kepler-311,5905.0,1.188,0.994,-0.03,,1.95,
3821,Kepler-311,5905.0,1.188,0.994,-0.03,,1.95,
3822,Kepler-311,5903.0,1.156,0.974,-0.1,,1.95,
3823,Kepler-312,6115.0,1.467,1.314,0.15,,2.88,
3824,Kepler-312,6115.0,1.467,1.314,0.15,,2.88,
3825,Kepler-313,5727.0,1.536,1.114,0.26,,7.08,
3826,Kepler-313,5727.0,1.536,1.114,0.26,,7.08,
3827,Kepler-314,5378.0,0.95,0.99,0.322,,0.98,
3828,Kepler-314,5378.0,0.95,0.99,0.322,,0.98,
3829,Kepler-315,5796.0,1.037,0.831,-0.27,,12.3,
3830,Kepler-315,5796.0,1.037,0.831,-0.27,,12.3,
3831,Kepler-316,4204.0,0.52,0.587,-0.23,,3.31,
3832,Kepler-316,4204.0,0.52,0.587,-0.23,,3.31,
3833,Kepler-317,5497.0,0.941,0.865,0.13,,3.72,
3834,Kepler-317,5497.0,0.941,0.865,0.13,,3.72,
3835,Kepler-318,5746.0,1.189,1.073,0.332,,0.95,
3836,Kepler-318,5746.0,1.189,1.073,0.332,,0.95,
3837,Kepler-319,5526.0,0.903,0.933,0.06,,1.07,
3838,Kepler-319,5526.0,0.903,0.933,0.06,,1.07,
3839,Kepler-319,5526.0,0.903,0.933,0.06,,1.07,
3840,Kepler-32,3900.0,0.53,0.58,0.0,M1 V,5.6,
3841,Kepler-32,3900.0,0.53,0.58,0.0,M1 V,5.6,
3842,Kepler-32,3900.0,0.53,0.58,0.0,M1 V,5.6,
